SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1783409,TCGA-B5-A11R-01,HRAS,normal,      -0.651,419
2385666,TCGA-49-AARO-01,HRAS,normal,       0.069,417
2121502,TCGA-D3-A1Q6-06,HRAS,normal,      -0.559,540
2197928,TCGA-BR-6456-01,HRAS,normal,       1.609,541
2194147,TCGA-CS-4938-01,HRAS,normal,      -0.216,545
1783541,TCGA-DI-A1NN-01,HRAS,normal,      -0.345,419
2339335,TCGA-WJ-A86L-01,HRAS,normal,       0.412,628
2193195,TCGA-FD-A5BV-01,HRAS,normal,      -0.775,413
2195080,TCGA-85-8354-01,HRAS,normal,       0.095,418
1651640,TCGA-F5-6814-01,HRAS,normal,       1.039,375
1650388,TCGA-AB-2896-03,HRAS,normal,      -0.453,377
2198246,TCGA-DJ-A3V0-01,HRAS,normal,       0.398,542
2340543,TCGA-DD-AACI-01,HRAS,normal,       0.515,628
2386218,TCGA-ZJ-AAXA-01,HRAS,normal,      -0.341,415
2263343,TCGA-S9-A7IY-01,HRAS,normal,       0.221,545
2263076,TCGA-HD-A6HZ-01,HRAS,normal,      -0.556,627
2198238,TCGA-DJ-A3VG-01,HRAS,normal,       0.079,542
2196456,TCGA-25-1323-01,HRAS,normal,      -0.926,331
2385675,TCGA-97-8176-01,HRAS,normal,       0.482,417
2193309,TCGA-EA-A44S-01,HRAS,normal,       0.373,415
2194833,TCGA-MP-A4TE-01,HRAS,normal,       0.048,417
1475053,TCGA-23-1026-01,HRAS,normal,      -0.231,331
2386131,TCGA-UU-A93S-01,HRAS,normal,       0.101,414
2262786,TCGA-P5-A5ET-01,HRAS,normal,       0.224,545
1915893,TCGA-HC-7744-01,HRAS,normal,      -0.457,435
2340142,TCGA-NH-A8F7-01,HRAS,normal,      -0.584,376
2193792,TCGA-CV-6962-01,HRAS,normal,      -0.587,627
2193745,TCGA-CV-6939-01,HRAS,normal,      -0.494,627
1900097,TCGA-D8-A27M-01,HRAS,normal,      -0.610,414
2193240,TCGA-GC-A3YS-01,HRAS,normal,      -0.366,413
1779891,TCGA-B8-5164-01,HRAS,normal,      -0.714,416
1651583,TCGA-AH-6547-01,HRAS,normal,      -0.732,375
2270068,TCGA-DX-A1KZ-01,HRAS,normal,      -0.542,635
2193823,TCGA-CV-6936-01,HRAS,normal,      -0.655,627
1783390,TCGA-B5-A0K0-01,HRAS,normal,      -0.839,419
2262701,TCGA-AC-A62X-01,HRAS,normal,       0.294,414
1651237,TCGA-CM-6676-01,HRAS,normal,       0.368,376
2385743,TCGA-CF-A9FM-01,HRAS,normal,      -0.223,413
1779909,TCGA-BP-4970-01,HRAS,normal,      -0.462,416
2198090,TCGA-HU-8608-01,HRAS,normal,      -1.056,541
2339635,TCGA-G3-AAV7-01,HRAS,normal,      -0.311,628
2194554,TCGA-BC-A10Z-01,HRAS,normal,      -0.229,628
2339640,TCGA-DD-AADM-01,HRAS,normal,       0.337,628
2263001,TCGA-OE-A75W-01,HRAS,normal,       1.912,629
2121809,TCGA-BJ-A0Z3-01,HRAS,normal,      -0.353,542
2263246,TCGA-UC-A7PD-01,HRAS,normal,       1.917,415
2530200,TCGA-33-4579-01,HRAS,over,       4.192,418
2193633,TCGA-CR-7382-01,HRAS,over,       2.790,627
2269668,TCGA-DX-A3LY-01,HRAS,normal,      -0.388,635
1474937,TCGA-24-1436-01,HRAS,normal,      -1.068,331
2339655,TCGA-50-8460-01,HRAS,normal,      -1.014,417
2121565,TCGA-D9-A4Z5-01,HRAS,normal,       0.077,540
2270051,TCGA-OR-A5LT-01,HRAS,normal,      -1.458,631
2339942,TCGA-XK-AAIR-01,HRAS,normal,      -0.599,435
2269965,TCGA-P6-A5OG-01,HRAS,normal,       0.724,631
2339631,TCGA-G3-AAV1-01,HRAS,normal,      -0.803,628
1780234,TCGA-91-6828-01,HRAS,normal,      -0.749,417
2198074,TCGA-BR-6457-01,HRAS,normal,      -0.173,541
2386055,TCGA-2Y-A9H4-01,HRAS,over,       3.142,628
1651523,TCGA-AF-6655-01,HRAS,normal,       0.575,375
2385931,TCGA-B8-A54K-01,HRAS,normal,      -0.509,416
1779922,TCGA-BP-4987-01,HRAS,normal,      -0.333,416
2193409,TCGA-C5-A1BM-01,HRAS,normal,      -0.310,415
2194887,TCGA-91-A4BD-01,HRAS,normal,       0.981,417
2386056,TCGA-2Y-A9H5-01,HRAS,normal,      -0.795,628
1899903,TCGA-BH-A0BV-01,HRAS,normal,      -0.188,414
2339881,TCGA-DD-AADB-01,HRAS,normal,      -0.381,628
2197904,TCGA-D7-6528-01,HRAS,normal,       0.537,541
2262906,TCGA-LL-A8F5-01,HRAS,normal,       0.445,414
1899898,TCGA-BH-A0BP-01,HRAS,normal,      -0.491,414
1474921,TCGA-57-1582-01,HRAS,normal,      -1.227,331
2340230,TCGA-YL-A8SI-01,HRAS,normal,      -0.168,435
1797194,TCGA-EJ-5506-01,HRAS,normal,      -0.735,435
2339794,TCGA-UC-A7PI-01,HRAS,normal,      -0.864,415
2122037,TCGA-EM-A22N-01,HRAS,normal,      -0.707,542
1900124,TCGA-E2-A150-01,HRAS,normal,      -0.420,414
1779789,TCGA-A3-3365-01,HRAS,normal,      -0.490,416
2197896,TCGA-BR-7707-01,HRAS,over,       3.391,541
